場所名,カテゴリ名,ジャンル ,時事イベント (Yes or No),画像へのパス,一覧説明文(冒頭),説明文 (簡易的),所要時間,インドア or アウトドア,開催期間(From)：,開催期間(To),おすすめのポイント,郵便番号(ハイフンなし),都道府県,住所(ハイフン半角),建物名(必要あれば),メモ,単価,画像①,画像②,画像③,好み
浅草寺,有名な観光地,,no,sensouji.jpg,628年の創建とされる都内最古の寺院。大きな提灯を下げた総門「雷門」で知られる。,628年の創建とされる都内最古の寺院。大きな提灯を下げた総門「雷門」で知られる。節分会、納めの観音ご縁日など、多くの行事が開催される。,30,アウトドア,,,,1110032,東京都,台東区浅草2-3-1,,,0,,,,トラディショナル.気軽に楽しみたい.有名.賑わい.大人向け
仲見世,有名な観光地,,no,nakamise.jpg,雷門から宝蔵門までの約250mの通りに江戸時代からの老舗など約90店がひしめく仲見世。,雷門から宝蔵門までの約250mの通りに江戸時代からの老舗など約90店がひしめく仲見世。当時、境内の労役などを課せられた人々に参道での出店営業が認められたのが始まり,30,アウトドア,,,,1110032,東京都,台東区浅草１丁目,,,0,,,,トラディショナル.気軽に楽しみたい.有名.賑わい.大人向け
伝法院通り,有名な観光地,,no,denboin_dori.jpeg,東西200mの通りに江戸文化が凝縮。和小物、甘納豆などの下町土産や、職人技が活きた逸品に出会える。,東西200mの通りに江戸文化が凝縮。和小物、甘納豆などの下町土産や、職人技が活きた逸品に出会える。呉服屋の屋根にある鼠小僧、多彩な瓦化粧、シャッターに描かれた江戸八人衆など見どころ満載。,30,アウトドア,,,,1110032,東京都,台東区浅草2-3-5,,,0,,,,トラディショナル.気軽に楽しみたい.有名.賑わい.大人向け
まるごとにっぽん,有名な観光地,買い物,no,marugoto_nippon.jpg,酒や新鮮な野菜、熟練した職人が伝統的な方法で作った日用品･雑貨などがあり、施設の1階～4階までを巡ると「にっぽん」を体感することができる。,酒や新鮮な野菜、熟練した職人が伝統的な方法で作った日用品･雑貨などがあり、施設の1階～4階までを巡ると「にっぽん」を体感することができる。イベントスペースでは、ものづくり体験やレッスンも受けられる。4階のレストランでは地元の風土を味わえる日本料理も楽しめる。,60,インドア,,,,1110032,東京都,台東区浅草2-6-7,,,0,,,,気軽に楽しみたい.有名.賑わい.子供向け
浅草花やしき,有名な観光地,,no,asakusa_hanayashiki.jpg,"1853年に開園した遊園地。日本現存最古の「ローラーコースター」などが楽しめる。
","1853年に開園した遊園地。日本現存最古の「ローラーコースター」のほか、地上60mまで急上昇する「スペースショット」、花やしきのシンボル「Beeタワー」などが見逃せない。
",120,アウトドア,,,,1110032,東京都,台東区浅草2-28-1,,,3000,,,,気軽に楽しみたい.有名.賑わい.子供向け
スターの広場,有名な観光地,,no,starnohiroba.jpg,浅草公会堂の前にあるスターの広場には、森進一や藤田まことなど、280人以上の有名人の手型が並ぶ。,浅草公会堂の前にあるスターの広場には、森進一や藤田まことなど、280人以上の有名人の手型が並ぶ。芸能人のほか、作曲家や噺家など顔ぶれは多彩。手型は毎年増えている。,10,アウトドア,,,,1110032,東京都,台東区浅草1-38,,,0,,,,気軽に楽しみたい
東京スカイツリー,有名な観光地,,no,skytree.jpg,634メートルと世界一の高さを誇る展望タワー。伝統的な日本文化の美や地域性をコンセプトとする。,634メートルと世界一の高さを誇る展望タワー。伝統的な日本文化の美や地域性をコンセプトとする。,60,インドア,,,,1310045,東京都,墨田区押上1-1-2,,,0,,,,気軽に楽しみたい.有名.賑わい.子供向け.大人向け
東京ソラマチ,有名な観光地,,no,soramachi.jpg,東京スカイツリーを中心に、とうきょうスカイツリー駅と押上駅を結ぶ東西長さ約400m、広さ3.69haの巨大な街。さまざまな施設が入る,東京スカイツリーを中心に、とうきょうスカイツリー駅と押上駅を結ぶ東西長さ約400m、広さ3.69haの巨大な街。さまざまな施設が入る,90,インドア,,,,1310045,東京都,墨田区押上1-1-2,,,0,,,,気軽に楽しみたい.有名.賑わい.子供向け.大人向け
アメヤ横丁,有名な観光地,,no,ameyoko.jpeg,御徒町駅から上野駅まで，山手線の高架橋西側と高架下に伸びる長さ４００ｍの商店街．買い物客で常にごった返し，とくに年末は人手が激しい．,御徒町駅から上野駅まで，山手線の高架橋西側と高架下に伸びる長さ４００ｍの商店街．買い物客で常にごった返し，とくに年末は人手が激しい．,40,アウトドア,,,,1100005,東京都,台東区上野4-9-14,,,0,,,,気軽に楽しみたい.有名.賑わい.子供向け.大人向け
かっぱ橋道具街,有名な観光地,買い物,no,kappabashi_dougugai.jpg,100年以上もの歴史を誇る商店街。およそ170以上の店舗がずらりと並ぶ。,100年以上もの歴史を誇る商店街。約800mの通りには和洋中の食器や漆器、和洋菓子機器、厨房設備器具、食料原材料、包装用品、食品サンプルなど、およそ170以上の店舗がずらりと並ぶ。,60,アウトドア,,,,1100036,東京都,台東区松が谷3-18-2,,,0,,,,トラディショナル.気軽に楽しみたい.有名.賑わい.大人向け
浅草演芸ホール,アート,,no,asakusa_engei_hall.jpg,漫才や漫談、曲芸、ものまねなどバラエティ豊かな内容が楽しめる大衆演芸場。,江戸時代初期、安楽庵策伝が大名に滑稽な話をしたことに始まる日本独特の芸能や落語をはじめ、漫才や漫談、曲芸、ものまねなどバラエティ豊かな内容が楽しめる大衆演芸場。,120,インドア,,,,1110032,東京都,台東区浅草1-43-12,,,2800,,,,トラディショナル.じっくり楽しみたい.有名.大人向け
江戸下町伝統工芸館,アート,美術館,no,edo_shitamachi_kogeikan.jpg,約400点におよぶ伝統工芸品が見られ、1階では週末に制作の実演も見学できる。,2階の展示フロアでは銀器、刺繍、木彫、江戸簾など、約400点におよぶ伝統工芸品が見られ、1階では週末に制作の実演も見学できる。企画展や手作り教室などのイベントも開催。,20,インドア,,,,1110032,東京都,台東区浅草2-22-13,,,0,,,,トラディショナル.じっくり楽しみたい.有名.大人向け
